text	gold	text2	sys	cf_sents
À Sozame.	12	À Sozame.	4	0
Embrassant Madame Milville.	6	Embrassant Madame Milville.	6	0
Examinant le tableau.	0	Examinant le tableau.	0	0
Air de la SIRÈNE, d'Auber.	8	Air de la SIRÈNE, d'Auber.	8	0
Le Chevalier tombe à genoux;	0	Le Chevalier tombe à genoux;	0	0
AIR : Réveillez-vous belle endormie.	8	AIR : Réveillez-vous belle endormie.	2	0
AIR 105 : La bonne aventure, ô gai.	8	AIR 105 : La bonne aventure, ô gai.	8	0
Regardant la table servie.	0	Regardant la table servie.	0	0
Saint-Alban parait.	4	Saint-Alban parait.	4	0
Entre Henri Bassou.	4	Entre Henri Bassou.	4	0
Il le déchire.	10	Il le déchire.	1	0
Lettre de MASSINISSE à SOPHONISBE	8	Lettre de MASSINISSE à SOPHONISBE	10	0
Se jetant aux pieds d'Inès.	0	Se jetant aux pieds d'Inès.	0	0
Se posant devant Julie.	0	Se posant devant Julie.	6	0
RONDEAU du Prisonnier.	8	RONDEAU du Prisonnier.	8	0
À Florine.	12	À Florine.	12	0
S'adressant à Léandre.	12	S'adressant à Léandre.	12	0
Il feint de s'en aller.	7	Il feint de s'en aller.	7	0
Air : des Fraises.	8	Air : des Fraises.	10	0
À Ardenie.	12	À Ardenie.	4	0
LETTRE SUPPOSÉE d'ALIDOR À CLARINE.	8	LETTRE SUPPOSÉE d'ALIDOR À CLARINE.	10	0
Fenise rentre.	5	Fenise rentre.	4	0
Tandis que cette première statue par ses attitudes et ses pas, marque sa surprise et son admiration, Prométhée par ses gestes marque combien il est satisfait de son ouvrage, et tâche de faire entrer Mercure dans sa joie. II anime une seconde Statue qui est encore celle d'un homme, et qui exprime à la vue du Ciel et de la Terre les mêmes mouvements de surprise que la première ; ensuite ils s'aperçoivent, courent l'un à l'autre, s'embrassent et se donnent tous les témoignages de l'amitié la plus vive.	9	Tandis que cette première statue par ses attitudes et ses pas, marque sa surprise et son admiration, Prométhée par ses gestes marque combien il est satisfait de son ouvrage, et tâche de faire entrer Mercure dans sa joie. II anime une seconde Statue qui est encore celle d'un homme, et qui exprime à la vue du Ciel et de la Terre les mêmes mouvements de surprise que la première ; ensuite ils s'aperçoivent, courent l'un à l'autre, s'embrassent et se donnent tous les témoignages de l'amitié la plus vive.	6	0
À Philomèle.	12	À Philomèle.	12	0
Ils s'asseyent tous deux.	0	Ils s'asseyent tous deux.	0	0
À Tartuffe.	12	À Tartuffe.	12	0
Ils sortent avec la Mère Ubu.	5	Ils sortent avec la Mère Ubu.	5	0
AIR. Oh ! Ricandaine.	8	AIR. Oh ! Ricandaine.	2	0
En apercevant Eve.	0	En apercevant Eve.	6	0
Regardant sa main vide.	0	Regardant sa main vide.	0	0
Elle reprend le bras de Phanor.	6	Elle reprend le bras de Phanor.	6	0
Elle lui rend la bague.	10	Elle lui rend la bague.	10	0
Se remettant.	7	Se remettant.	0	0
Elle parle surtout d'une certaine Clorinde, qui ne l'a reconduite qu'à la porte de sa chambre. Monsieur Bobinet trouve fort ridicule que pendant tout le temps de la visite, on ne l'ait pas prié de mettre son chapeau.	9	Elle parle surtout d'une certaine Clorinde, qui ne l'a reconduite qu'à la porte de sa chambre. Monsieur Bobinet trouve fort ridicule que pendant tout le temps de la visite, on ne l'ait pas prié de mettre son chapeau.	9	0
AIR : Quand on conspire.	8	AIR : Quand on conspire.	2	0
Il arrache du poil.	10	Il arrache du poil.	1	0
Il paraît.	4	Il paraît.	2	0
Il donne plusieurs coups de bâton sur le sac.	1	Il donne plusieurs coups de bâton sur le sac.	1	0
Montrant son écharpe.	0	Montrant son écharpe.	0	0
Le portier sort pour revenir l'instant d'après avec la vieille pécheresse. Pendant ces minutes, l'évêque à mi-voix murmure :	5	Le portier sort pour revenir l'instant d'après avec la vieille pécheresse. Pendant ces minutes, l'évêque à mi-voix murmure :	3	0
Guillot fait semblant de s'en aller.	5	Guillot fait semblant de s'en aller.	7	0
À Antiochus.	12	À Antiochus.	12	0
À Déjanire	12	À Déjanire	12	0
À Verseuil.	12	À Verseuil.	11	0
Il va ouvrir la porte.	0	Il va ouvrir la porte.	7	0
Il paraissent tous trois.	4	Il paraissent tous trois.	4	0
Entre le Cardinal.	4	Entre le Cardinal.	4	0
Sixième intermède ; Qui est la solennité des Jeux pythiens.	4	Sixième intermède ; Qui est la solennité des Jeux pythiens.	11	0
Il le bat.	1	Il le bat.	1	0
Il entre avec l'orfèvre.	5	Il entre avec l'orfèvre.	4	0
Elle ramasse le bonnet.	10	Elle ramasse le bonnet.	0	0
Air : Or écoutez petits et grands.	8	Air : Or écoutez petits et grands.	2	0
Une troupe de Matelots descendent d'un vaisseau échoué.	4	Une troupe de Matelots descendent d'un vaisseau échoué.	4	0
À Antonin.	12	À Antonin.	12	0
AIR : Voulez-vous savoir qui des deux.	8	AIR : Voulez-vous savoir qui des deux.	2	0
À Henry.	12	À Henry.	12	0
Le Choeur des Bergers répète ces deux derniers Vers.	3	Le Choeur des Bergers répète ces deux derniers Vers.	8	0
Le Mufti demande aux Turcs si le Bourgeois sera ferme dans la religion mahométane, et leur chante ces paroles :	3	Le Mufti demande aux Turcs si le Bourgeois sera ferme dans la religion mahométane, et leur chante ces paroles :	8	0
AIR : Eh zon, zon, zon, Lisette.	8	AIR : Eh zon, zon, zon, Lisette.	8	0
Elle met timidement, mais avec résolution, sur le bras de Théodat, sa main qui se crispe à la chair sentie sous les étoffes.	6	Elle met timidement, mais avec résolution, sur le bras de Théodat, sa main qui se crispe à la chair sentie sous les étoffes.	6	0
Entre Madame Dergos.	4	Entre Madame Dergos.	4	0
Avec feu.	3	Avec feu.	0	0
Il regarde le portrait.	0	Il regarde le portrait.	0	0
SCÈNE II.	8	SCÈNE II.	11	0
Lui donnant le bracelet.	10	Lui donnant le bracelet.	3	0
Air : Pauvre Jacques.	8	Air : Pauvre Jacques.	2	0
Au duc d'Alcala.	12	Au duc d'Alcala.	12	0
Air : Je vous salue, ô végétaux !	8	Air : Je vous salue, ô végétaux !	2	0
On lui corne aux oreilles avec une trompe de postillon.	9	On lui corne aux oreilles avec une trompe de postillon.	0	0
Antistrophe II.	8	Antistrophe II.	9	0
Strophe X.	8	Strophe X.	9	0
Apercevant Job.	0	Apercevant Job.	6	0
Air : Mon joli petit Corbillon.	8	Air : Mon joli petit Corbillon.	8	0
Air : Le petit mot, etc.	0	Air : Le petit mot, etc.	8	0
Il prélude encore.	3	Il prélude encore.	8	0
(Gen. XXII, 17 et 18).	8	(Gen. XXII, 17 et 18).	9	0
Le Comte paraît.	4	Le Comte paraît.	4	0
Tout accourt à sa voix.	4	Tout accourt à sa voix.	4	0
Il se lève de table.	0	Il se lève de table.	7	0
À demi-voix.	3	À demi-voix.	3	0
Elles traversent toutes deux.	11	Elles traversent toutes deux.	7	0
Elle joint les mains.	0	Elle joint les mains.	0	0
On frappe à la porte au fond.	0	On frappe à la porte au fond.	4	0
Paquette lui serrant la main.	10	Paquette lui serrant la main.	6	0
AIR : Plaisirs si purs que je regrette.	8	AIR : Plaisirs si purs que je regrette.	8	0
À Hauteroche.	12	À Hauteroche.	12	0
Air 15 : Je ne suis né ni Roi, ni Prince.	8	Air 15 : Je ne suis né ni Roi, ni Prince.	2	0
Le Roi dort.	0	Le Roi dort.	11	0
Fritelin et son Maître apparaissent sur le petit théâtre. Fritelin descend dans la foule et la fait ranger en cercle. Un joueur de viole et un joueur de rebec sonnent de leurs instruments.	4	Fritelin et son Maître apparaissent sur le petit théâtre. Fritelin descend dans la foule et la fait ranger en cercle. Un joueur de viole et un joueur de rebec sonnent de leurs instruments.	4	0
Au peuple.	12	Au peuple.	12	0
En montrant Nérestan.	0	En montrant Nérestan.	6	0
Des soldats de la suite du Major entourent Roquillard, en lui présentant de tous côtés la pointe de la hallebarde ; et pendant ce temps Arlequin emmène Isabelle. Les soldats et Roquillard forment une danse, qui sert de divertissement pour le troisième acte.	9	Des soldats de la suite du Major entourent Roquillard, en lui présentant de tous côtés la pointe de la hallebarde ; et pendant ce temps Arlequin emmène Isabelle. Les soldats et Roquillard forment une danse, qui sert de divertissement pour le troisième acte.	6	0
On sonne une seconde fois.	0	On sonne une seconde fois.	8	0
À la Servante.	12	À la Servante.	2	0
Il y a une ottomane qui règne le long de la salle, le Chinois et la Chinoise s'y accroupissent. Un Tartare et une Tartare paraissent sans saluer personne ; ils ont un arc en main et un carquois sur l'épaule ; ils se couchent auprès des Chinois.	9	Il y a une ottomane qui règne le long de la salle, le Chinois et la Chinoise s'y accroupissent. Un Tartare et une Tartare paraissent sans saluer personne ; ils ont un arc en main et un carquois sur l'épaule ; ils se couchent auprès des Chinois.	11	0
Une maison de paysans dans les environs de Varsovie.	11	Une maison de paysans dans les environs de Varsovie.	11	0
Montano s'approche.	7	Montano s'approche.	7	0
Le théâtre représente un petit salon. Porte au fond. Porte latérale à droite. - Une fenêtre à gauche. - À droite, une table.	11	Le théâtre représente un petit salon. Porte au fond. Porte latérale à droite. - Une fenêtre à gauche. - À droite, une table.	11	0
Elle parle à Anthénor.	12	Elle parle à Anthénor.	6	0
Elle détrempe les papiers dans l'eau.	0	Elle détrempe les papiers dans l'eau.	0	0
Regardant le portrait de Lélie.	0	Regardant le portrait de Lélie.	0	0
ENSEMBLE	3	ENSEMBLE	6	0
La scène représente le boudoir de la Comtesse. À gauche, un petit paravent. Au lever du rideau, la Comtesse de La Roche-Gaston est seule en scène.	11	La scène représente le boudoir de la Comtesse. À gauche, un petit paravent. Au lever du rideau, la Comtesse de La Roche-Gaston est seule en scène.	11	0
Air : Oh, oh, oh, ah, ah, ah !	8	Air : Oh, oh, oh, ah, ah, ah !	8	0
Montrant Tancrède.	0	Montrant Tancrède.	6	0
À ses fils.	12	À ses fils.	12	0
AIR 97. (J'ai bien la plus sobre femme.)	8	AIR 97. (J'ai bien la plus sobre femme.)	2	0
La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	9	La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	7	0
Air : À la façon de Barbari.	8	Air : À la façon de Barbari.	8	0
À Isabelle.	8	À Isabelle.	12	0
Loretta fait le signe de la croix, baisse son voile, se lève et sort.	0	Loretta fait le signe de la croix, baisse son voile, se lève et sort.	5	0
À Doligni.	12	À Doligni.	4	0
À celui qui porte l'urne.	12	À celui qui porte l'urne.	12	0
Le théâtre représente l'appartement de Rosine. La croisée dans le fond du théâtre est fermée par une jalousie grillée.	11	Le théâtre représente l'appartement de Rosine. La croisée dans le fond du théâtre est fermée par une jalousie grillée.	11	0
À Mirval.	12	À Mirval.	12	0
Elle va au lit de la petite Dusault.	11	Elle va au lit de la petite Dusault.	7	0
Air : Toujours seule, disait Nina.	8	Air : Toujours seule, disait Nina.	2	0
Le reconduisant.	6	Le reconduisant.	6	0
Elle s'approche du fauteuil de gauche et elle indique celui de droite.	7	Elle s'approche du fauteuil de gauche et elle indique celui de droite.	6	0
Brécourt lève son bâton, que le cavalier pare avec un pistolet qu'il a tiré rapidement de sa ceinture.	1	Brécourt lève son bâton, que le cavalier pare avec un pistolet qu'il a tiré rapidement de sa ceinture.	1	0
Chompré paraît.	4	Chompré paraît.	4	0
À Arsame.	12	À Arsame.	4	0
AIR : Du Vaudeville de Figaro.	8	AIR : Du Vaudeville de Figaro.	8	0
La scène représente la province de Livonie couverte de neige.	11	La scène représente la province de Livonie couverte de neige.	11	0
Ils restent tous deux un instant dans le silence.	3	Ils restent tous deux un instant dans le silence.	6	0
Abois de chiens sur la route... Autos qui passent... Silence. Deux heures, bruits d'autos... Silence. Trois heures... Chants du coq se répandant dans la campagne... Silence. Quatre heures...	9	Abois de chiens sur la route... Autos qui passent... Silence. Deux heures, bruits d'autos... Silence. Trois heures... Chants du coq se répandant dans la campagne... Silence. Quatre heures...	9	0
Là, ils se masquent, et prennent les casaques des morts.	10	Là, ils se masquent, et prennent les casaques des morts.	0	0
Les prisonniers ramassent leurs outils, s'accouplent en silence et sortent la tête basse sous le fouet du soldat. Guanhumara reparaît sur la galerie haute et les suit des yeux. Au moment où les prisonniers disparaissent, entrent par la grande porte Régina, Edwige et Otbert ; Régina, vêtue de blanc ; Edwige, la nourrice, vieille, vêtue de noir ; Otbert, en habit de capitaine aventurier, avec le coutelas et la grande épée ; Régina, toute jeune, pale, accablée et se traînant à peine, comme une personne malade depuis longtemps et presque mourante. Elle se penche sur le bras d'Otbert, qui la soutient et fixe sur elle un regard plein d'angoisse et d'amour. Edwige la suit. Guanhumara, sans être vue d'aucun des trois, les observe et les écoute quelques instants, puis sort par le côté opposé à celui où elle est entrée.	9	Les prisonniers ramassent leurs outils, s'accouplent en silence et sortent la tête basse sous le fouet du soldat. Guanhumara reparaît sur la galerie haute et les suit des yeux. Au moment où les prisonniers disparaissent, entrent par la grande porte Régina, Edwige et Otbert ; Régina, vêtue de blanc ; Edwige, la nourrice, vieille, vêtue de noir ; Otbert, en habit de capitaine aventurier, avec le coutelas et la grande épée ; Régina, toute jeune, pale, accablée et se traînant à peine, comme une personne malade depuis longtemps et presque mourante. Elle se penche sur le bras d'Otbert, qui la soutient et fixe sur elle un regard plein d'angoisse et d'amour. Edwige la suit. Guanhumara, sans être vue d'aucun des trois, les observe et les écoute quelques instants, puis sort par le côté opposé à celui où elle est entrée.	9	0
Le théâtre représente une grande Salle de Spectacle, où l'on voit une troupe de Peuples de différents Provinces, qui forment le début de ce Prologue.	11	Le théâtre représente une grande Salle de Spectacle, où l'on voit une troupe de Peuples de différents Provinces, qui forment le début de ce Prologue.	11	0
En saisissant la main de son père.	6	En saisissant la main de son père.	6	0
À Bérénice.	12	À Bérénice.	12	0
Air : Dondaine.	8	Air : Dondaine.	6	0
Ils rentrent, à la réserve de Paquette, et de Champagne.	5	Ils rentrent, à la réserve de Paquette, et de Champagne.	4	0
Elle se penche à la fenêtre.	11	Elle se penche à la fenêtre.	7	0
Les clercs s'assemblent devant lui.	7	Les clercs s'assemblent devant lui.	6	0
"Lutte valeureuse de Théodore avec le mot ""humiliation""."	0	"Lutte valeureuse de Théodore avec le mot ""humiliation""."	1	0
La scène est à Paris.	11	La scène est à Paris.	11	0
À Érope et à Thyeste.	12	À Érope et à Thyeste.	12	0
Il tire un des parchemins de l'urne.	6	Il tire un des parchemins de l'urne.	10	0
Il donne son fouet à  Lépine.	10	Il donne son fouet à  Lépine.	10	0
En montrant Betti.	0	En montrant Betti.	6	0
Le théâtre représente l'intérieur d'un café, dans lequel on voit les bustes de quelques grands hommes, ni entr'autres celui de Molière.	11	Le théâtre représente l'intérieur d'un café, dans lequel on voit les bustes de quelques grands hommes, ni entr'autres celui de Molière.	11	0
Ils mangent tous deux.	0	Ils mangent tous deux.	6	0
Elle l'embrasse passionnément.	6	Elle l'embrasse passionnément.	6	0
À Pierrot.	12	À Pierrot.	12	0
Il prend des notes pour sa collection.	0	Il prend des notes pour sa collection.	0	0
Elle se jette à terre et se prosterne.	0	Elle se jette à terre et se prosterne.	0	0
Il heurte Grapinian, qui fait trois ou quatre pas, et se touchant le coude.	1	Il heurte Grapinian, qui fait trois ou quatre pas, et se touchant le coude.	1	0
Dassoucy, le Docteur et Pierrotin éclatent de rire.	3	Dassoucy, le Docteur et Pierrotin éclatent de rire.	0	0
Il se retourne devers Isidore, à chaque parole qu'il dit à Don_Pèdre : et lui fait des signes pour lui faire connaître le dessein de son maître.	12	Il se retourne devers Isidore, à chaque parole qu'il dit à Don_Pèdre : et lui fait des signes pour lui faire connaître le dessein de son maître.	6	0
Air. Nanon dormait.	8	Air. Nanon dormait.	11	0
Air : C'est au pays de Cocagne.	8	Air : C'est au pays de Cocagne.	9	0
À Argimont.	12	À Argimont.	4	0
Il sort en tirant ses tablettes.	5	Il sort en tirant ses tablettes.	5	0
Melpomène sur l'aile droite du Théâtre. Thalie sur l'aile gauche avec sa suite.	11	Melpomène sur l'aile droite du Théâtre. Thalie sur l'aile gauche avec sa suite.	4	0
Se jetant sur un fautenil.	0	Se jetant sur un fautenil.	0	0
AIR. Que de Gentillesse.	8	AIR. Que de Gentillesse.	8	0
Il referme vite le secret de l'écrin.	10	Il referme vite le secret de l'écrin.	0	0
Air : Quel amour fut aussi tendre ! De Nina.	8	Air : Quel amour fut aussi tendre ! De Nina.	3	0
SÉRÉNADE.	8	SÉRÉNADE.	8	0
Aux insulaires de l'un et de l'autre sexes.	12	Aux insulaires de l'un et de l'autre sexes.	11	0
Il dit en riant les derniers mots.	3	Il dit en riant les derniers mots.	3	0
Entrant.	4	Entrant.	4	0
Tirsis se retire.	5	Tirsis se retire.	5	0
Apercevant la livrée de Tronquoy.	0	Apercevant la livrée de Tronquoy.	0	0
Il fait plusieurs tours de chambre d'un air désoeuvré, puis il revient à fa place.	7	Il fait plusieurs tours de chambre d'un air désoeuvré, puis il revient à fa place.	7	0
La Scène représente un Vestibule, terminé par un Jardin.	11	La Scène représente un Vestibule, terminé par un Jardin.	11	0
Air nouveau, de M. MALPERTUIS, ou du Vaudeville de Jadis et Aujourd'hui.	8	Air nouveau, de M. MALPERTUIS, ou du Vaudeville de Jadis et Aujourd'hui.	8	0
Air : De Monsieur Doche.	8	Air : De Monsieur Doche.	8	0
Il donne les quatre rouleaux à Milescas.	10	Il donne les quatre rouleaux à Milescas.	10	0
En pesant beaucoup sur ces derniers mots.	3	En pesant beaucoup sur ces derniers mots.	3	0
À part, après avoir lu.	2	À part, après avoir lu.	2	0
ENTRÉE de toutes sortes de personnes amoureuse de la nouveauté.	8	ENTRÉE de toutes sortes de personnes amoureuse de la nouveauté.	4	0
AIR. Le bonheur de ma vie.	8	AIR. Le bonheur de ma vie.	8	0
Il accorde sa guitare.	8	Il accorde sa guitare.	8	0
Il s'avance vers la petite porte.	7	Il s'avance vers la petite porte.	7	0
Un salon chez Chameroy, ameublement sans élégance. Un bureau à gauche, à droite un canapé.	11	Un salon chez Chameroy, ameublement sans élégance. Un bureau à gauche, à droite un canapé.	11	0
AIR. Paris est au Roi, mon coeur est à moi.	8	AIR. Paris est au Roi, mon coeur est à moi.	2	0
Le théâtre représente le vestibule d'un hôtel de villel.	11	Le théâtre représente le vestibule d'un hôtel de villel.	11	0
Elle se tue.	1	Elle se tue.	1	0
Air : Le coeur de mon Annette.	8	Air : Le coeur de mon Annette.	8	0
AIR d'Yelva.	8	AIR d'Yelva.	8	0
Même décor qu'au premier acte. Huit heures du soir.	11	Même décor qu'au premier acte. Huit heures du soir.	11	0
Air 172 : Je suis Madelon Friquet.	8	Air 172 : Je suis Madelon Friquet.	2	0
Lui jetant une clef.	10	Lui jetant une clef.	0	0
RÉCITATIF, par MONSIEUR LA RUETTE. N°1	8	RÉCITATIF, par MONSIEUR LA RUETTE. N°1	9	0
Un Messager entre.	4	Un Messager entre.	4	0
Le théâtre représente un verger, et de chaque côte de la scène, sur le devant, un petit carré de jardin. On voit la maison de Caleb sur la droite, et un berceau d'orangers à la porte : le verger est enclos d'une espèce de haie qui a une porte au milieu ; par-delà est une chaîne de montagnes : tous les arbres doivent être abondamment garnis de fruits.	11	Le théâtre représente un verger, et de chaque côte de la scène, sur le devant, un petit carré de jardin. On voit la maison de Caleb sur la droite, et un berceau d'orangers à la porte : le verger est enclos d'une espèce de haie qui a une porte au milieu ; par-delà est une chaîne de montagnes : tous les arbres doivent être abondamment garnis de fruits.	11	0
Justine sort.	5	Justine sort.	7	0
Scapin et Monsieur Dumont préparent tout.	11	Scapin et Monsieur Dumont préparent tout.	0	0
En montrant Bouchet.	0	En montrant Bouchet.	6	0
Il s'assied, et il écrit en chantant.	0	Il s'assied, et il écrit en chantant.	0	0
Bièvre rit.	3	Bièvre rit.	0	0
Il met la main à un poignard.	1	Il met la main à un poignard.	1	0
Il est à genoux.	0	Il est à genoux.	0	0
Un fantôme emporte l'épée d'Arcas.	10	Un fantôme emporte l'épée d'Arcas.	0	0
Il sonne.	3	Il sonne.	8	0
Le théâtre change en cet endroit et représente un bois et un château dans l'enfoncement. Un jeune Prince paraît appuyé contre un arbre dans l'attitude d'un homme accablé de douleur.	11	Le théâtre change en cet endroit et représente un bois et un château dans l'enfoncement. Un jeune Prince paraît appuyé contre un arbre dans l'attitude d'un homme accablé de douleur.	11	0
Cependant Monsieur Hardouin écarte le mantelet de Madame Bertrand, et la met un peu en désordre.	10	Cependant Monsieur Hardouin écarte le mantelet de Madame Bertrand, et la met un peu en désordre.	6	0
Géronte s'approcha de la Dame, et levé sa calèche.	7	Géronte s'approcha de la Dame, et levé sa calèche.	6	0
Il tombe à ses pieds.	0	Il tombe à ses pieds.	7	0
Il rentre sur la pointe des pieds.	3	Il rentre sur la pointe des pieds.	4	0
Se tâtant.	0	Se tâtant.	0	0
À Marthon.	12	À Marthon.	4	0
Hortense les suit.	7	Hortense les suit.	7	0
Il part avec Silvia.	5	Il part avec Silvia.	5	0
Air : Je ne verrai plus ce que j'aime.	8	Air : Je ne verrai plus ce que j'aime.	2	0
À Madame Patin.	12	À Madame Patin.	12	0
Tartuffe entre chez Thalie.	5	Tartuffe entre chez Thalie.	4	0
AIR : Quel plaisir de voir Claudine !	8	AIR : Quel plaisir de voir Claudine !	2	0
Le Prince est assis avec le Marquis d'Alfons devant une table chargée de plans, de livres et de papiers, dont ils paraissent s'occuper, on entend un tumulte qui annonce une fête publique.	0	Le Prince est assis avec le Marquis d'Alfons devant une table chargée de plans, de livres et de papiers, dont ils paraissent s'occuper, on entend un tumulte qui annonce une fête publique.	11	0
Allant à Marie.	7	Allant à Marie.	7	0
À Arlequin.	12	À Arlequin.	12	0
Ayant l'air de chercher.	0	Ayant l'air de chercher.	7	0
Elle entre chez Sylviane.	5	Elle entre chez Sylviane.	4	0
Elle se lève ainsi que Lamblin.	0	Elle se lève ainsi que Lamblin.	7	0
On entend des coups à la porte d'en bas.	0	On entend des coups à la porte d'en bas.	0	0
On chante un cantique.	3	On chante un cantique.	8	0
Elle rentre chez elle.	5	Elle rentre chez elle.	4	0
Au Noble.	12	Au Noble.	12	0
Elle pleure amèrement.	3	Elle pleure amèrement.	0	0
Ce disant, il désigne des Urlis qui arrive en costume de Néarque, un petit chien sur un bras et un bilboquet à la main.	0	Ce disant, il désigne des Urlis qui arrive en costume de Néarque, un petit chien sur un bras et un bilboquet à la main.	4	0
Le Chevalier met dans le chapeau de Frontin des bijoux et de l'argent.	10	Le Chevalier met dans le chapeau de Frontin des bijoux et de l'argent.	10	0
À Sommerset.	12	À Sommerset.	11	0
Le Soleil parait dans son palais. Ce palais est d'or, composé avec des colonnes torses d'or poli, qui sont revêtues de branches de Laurier qui les environnent, de couleur naturelle. Les chapiteaux sont d'or fin ciselé, et les bases des colonnes de même matière, aussi bien que la frise et la corniche. Le corps du massif de ce palais est de pierres précieuses, et tous les piédestaux de marbre blanc, au milieu desquels on voit de gros Rubis. Les panneaux sont enrichis de veines d'or sur un fond de lapis. Au-dessus de la Corniche on voit, dans une espèce de petite Attique d'où naissent les cintres, des lires d'or, avec plusieurs ornements ; et dans le milieu des voûtes sont peints de grands Soleils d'or poli, avec quantités d'autres ornements. L'Optique de ce palais est toute transparente, et jette un éclat qui éblouit.	9	Le Soleil parait dans son palais. Ce palais est d'or, composé avec des colonnes torses d'or poli, qui sont revêtues de branches de Laurier qui les environnent, de couleur naturelle. Les chapiteaux sont d'or fin ciselé, et les bases des colonnes de même matière, aussi bien que la frise et la corniche. Le corps du massif de ce palais est de pierres précieuses, et tous les piédestaux de marbre blanc, au milieu desquels on voit de gros Rubis. Les panneaux sont enrichis de veines d'or sur un fond de lapis. Au-dessus de la Corniche on voit, dans une espèce de petite Attique d'où naissent les cintres, des lires d'or, avec plusieurs ornements ; et dans le milieu des voûtes sont peints de grands Soleils d'or poli, avec quantités d'autres ornements. L'Optique de ce palais est toute transparente, et jette un éclat qui éblouit.	11	0
Il embrasse Roméo.	6	Il embrasse Roméo.	6	0
À Illo.	12	À Illo.	12	0
Il embrasse Lisidan.	6	Il embrasse Lisidan.	6	0
Étant seule.	2	Étant seule.	2	0
Retenant Hernani.	6	Retenant Hernani.	7	0
Air d'Arlequin afficheur.	8	Air d'Arlequin afficheur.	8	0
La toile se baisse.	11	La toile se baisse.	11	0
Air : Aimé de la belle Ninon.	8	Air : Aimé de la belle Ninon.	12	0
Il se jette aux genoux de la Marquise.	0	Il se jette aux genoux de la Marquise.	0	0
Marthon se rapproche ici de Madame Lisban et de Lindor.	7	Marthon se rapproche ici de Madame Lisban et de Lindor.	6	0
Lucile continue de regarder.	0	Lucile continue de regarder.	0	0
L'action continue dans le salon des prisonniers du Temple.	3	L'action continue dans le salon des prisonniers du Temple.	11	0
Il serre la main du Grand Écrivain.	6	Il serre la main du Grand Écrivain.	6	0
Pasquariel se change en monstre. Arlequin jette son manteau royal, et paraît monté sur un cheval ailé, combat le monstre, et après un jeu de culbutes, la scène finit.	9	Pasquariel se change en monstre. Arlequin jette son manteau royal, et paraît monté sur un cheval ailé, combat le monstre, et après un jeu de culbutes, la scène finit.	0	0
Tirant une clef de sa poche.	10	Tirant une clef de sa poche.	10	0
Ils se jettent à genoux.	0	Ils se jettent à genoux.	0	0
ENTRÉE.	4	ENTRÉE.	4	0
Air : Babet, que t'es gentille.	8	Air : Babet, que t'es gentille.	2	0
Air : Restez, restez, troupe jolie.	8	Air : Restez, restez, troupe jolie.	6	0
Lettre de Daphné à Cléonte.	8	Lettre de Daphné à Cléonte.	10	0
Le lui montrant.	0	Le lui montrant.	6	0
Elle rit.	3	Elle rit.	0	0
Il lit la lettre de Damis.	0	Il lit la lettre de Damis.	0	0
Air : Reçois dans ton galetas.	8	Air : Reçois dans ton galetas.	6	0
Elle part en riant.	5	Elle part en riant.	5	0
À Illo et à Tersky.	12	À Illo et à Tersky.	12	0
AIR : L'amitié seule te séduit.	8	AIR : L'amitié seule te séduit.	2	0
La Haine et l'Envie s'embrassent, en rechignant.	6	La Haine et l'Envie s'embrassent, en rechignant.	6	0
Il tire de sa poche un demi Cercle, et le braque sur une canne qu'il tient à la main, et qui sert d'appui.	0	Il tire de sa poche un demi Cercle, et le braque sur une canne qu'il tient à la main, et qui sert d'appui.	0	0
Azor et Euphrosine vont pour attraper l'Amour, ils passent par dessous un Berceau, et sont pris dans un filet, Francoeur et sa Vendangeuse dans un autre. L'Amour vient au milieu, se moque d'eux; la Sybille approche tout doucement par derrière, lui jette une Guirlande et l'enchaîne; dès qu'il est pris tous les filets je rompent, et l'Amour unit tous les amants.	9	Azor et Euphrosine vont pour attraper l'Amour, ils passent par dessous un Berceau, et sont pris dans un filet, Francoeur et sa Vendangeuse dans un autre. L'Amour vient au milieu, se moque d'eux; la Sybille approche tout doucement par derrière, lui jette une Guirlande et l'enchaîne; dès qu'il est pris tous les filets je rompent, et l'Amour unit tous les amants.	9	0
Regardant les fleurs.	0	Regardant les fleurs.	0	0
Elle le met à son corsage.	10	Elle le met à son corsage.	0	0
Elle s'asseoit à une table.	0	Elle s'asseoit à une table.	0	0
Et comme tout bas.	3	Et comme tout bas.	2	0
Au Domestique.	12	Au Domestique.	12	0
Mouvement violent de monsieur Blaisy.	3	Mouvement violent de monsieur Blaisy.	1	0
Il s'arrache de leurs bras.	6	Il s'arrache de leurs bras.	1	0
Ils sortent avec les valets et les flambeaux. Le duc précédant le roi une cire à la main.	5	Ils sortent avec les valets et les flambeaux. Le duc précédant le roi une cire à la main.	5	0
Air : Ami, qui l'aurait pu croire.	8	Air : Ami, qui l'aurait pu croire.	2	0
AIR : Quand tu chantes, bercée.	8	AIR : Quand tu chantes, bercée.	8	0
Reprenant son exorde.	12	Reprenant son exorde.	3	0
