	text	gold	goldStr	text2	sys	sysStr	cf_sents
504	On entend le tambour.	0	action	On entend le tambour.	8	music	0
505	Il chante avec Galaor.	3	delivery	Il chante avec Galaor.	8	music	0
506	Elle disparaît dans la nuit.	5	exit	Elle disparaît dans la nuit.	5	exit	0
507	Il hésite.	3	delivery	Il hésite.	0	action	0
508	À un garde.	12	toward	À un garde.	12	toward	0
509	AIR : C'est la fille à Simonette.	8	music	AIR : C'est la fille à Simonette.	2	aparte	0
510	En pleurant.	3	delivery	En pleurant.	0	action	0
511	AIR. Voilà la ressemblance.	8	music	AIR. Voilà la ressemblance.	2	aparte	0
512	Il lui baille une lettre.	10	object	Il lui baille une lettre.	3	delivery	0
513	SENTENCE.	8	music	SENTENCE.	0	action	0
514	AIR. Monsieur le Prévôt des marchands.	8	music	AIR. Monsieur le Prévôt des marchands.	4	entrance	0
515	S'échauffant.	3	delivery	S'échauffant.	0	action	0
516	Criant très fort.	3	delivery	Criant très fort.	3	delivery	0
517	À Carion.	12	toward	À Carion.	12	toward	0
518	Monsieur Dumont sort.	5	exit	Monsieur Dumont sort.	5	exit	0
519	AIR. Des pendus.	8	music	AIR. Des pendus.	8	music	0
520	Marton paraît.	4	entrance	Marton paraît.	4	entrance	0
521	Patrice chante.	3	delivery	Patrice chante.	8	music	0
522	L'ouverture se fait par Éraste, qui conduit un grand concert, de voix et d'instruments, pour une sérénade, dont les paroles chantées par trois voix en manière de dialogue, sont faites sur le sujet de la comédie, et expriment les sentiments de deux amants, qui, étant bien ensemble, sont traversés par le caprice des parents.	8	music	L'ouverture se fait par Éraste, qui conduit un grand concert, de voix et d'instruments, pour une sérénade, dont les paroles chantées par trois voix en manière de dialogue, sont faites sur le sujet de la comédie, et expriment les sentiments de deux amants, qui, étant bien ensemble, sont traversés par le caprice des parents.	8	music	0
523	AIR : du Libera de la Bourbonnoise.	8	music	AIR : du Libera de la Bourbonnoise.	8	music	0
524	Le médecin Louis XV s'avance.	4	entrance	Le médecin Louis XV s'avance.	4	entrance	0
525	RITIGER accompagné du Duc son Frère anime ses capitaines à la défense de ses intérêts, leur donne les ordres pour ses gens de Guerre, et après les avoir congédiés,	9	narration	RITIGER accompagné du Duc son Frère anime ses capitaines à la défense de ses intérêts, leur donne les ordres pour ses gens de Guerre, et après les avoir congédiés,	9	narration	0
526	Il lui envoie des baisers.	6	interaction	Il lui envoie des baisers.	6	interaction	0
527	Edwige sort.	5	exit	Edwige sort.	5	exit	0
528	À Asser.	12	toward	À Asser.	2	aparte	0
529	À Nanine.	12	toward	À Nanine.	12	toward	0
530	Cinthio et Colombine arrivent ensemble à l'hôtellerie d'Arlequin. Colombine fait part à Cinthio de l'infidélité d'Octave, et de l'embarras où elle se trouve en voyageant seule. Cinthio tâche de la rassurer, offre de l'accompagner, et lui persuade de se faire passer pour sa soeur. Il frappe à la porte d'Arlequin.	9	narration	Cinthio et Colombine arrivent ensemble à l'hôtellerie d'Arlequin. Colombine fait part à Cinthio de l'infidélité d'Octave, et de l'embarras où elle se trouve en voyageant seule. Cinthio tâche de la rassurer, offre de l'accompagner, et lui persuade de se faire passer pour sa soeur. Il frappe à la porte d'Arlequin.	6	interaction	0
531	Elle quitte son chapeau et son châle.	10	object	Elle quitte son chapeau et son châle.	10	object	0
532	AIR. Non, je ne ferai pas.	8	music	AIR. Non, je ne ferai pas.	2	aparte	0
533	La Fleur s'en va.	5	exit	La Fleur s'en va.	5	exit	0
534	Au commandeur et au comte.	12	toward	Au commandeur et au comte.	12	toward	0
535	Portant le main à son coeur.	6	interaction	Portant le main à son coeur.	0	action	0
536	Sur le même ton.	3	delivery	Sur le même ton.	3	delivery	0
537	En chorus.	3	delivery	En chorus.	6	interaction	0
538	Elle ouvre un autre tiroir.	0	action	Elle ouvre un autre tiroir.	0	action	0
539	Sabine entre.	4	entrance	Sabine entre.	4	entrance	0
540	À ses Chasseurs.	12	toward	À ses Chasseurs.	6	interaction	0
541	BRANLE, etc.	8	music	BRANLE, etc.	7	movement	0
542	Air : D'un Zéphir mutin.	8	music	Air : D'un Zéphir mutin.	8	music	0
543	À Monsieur Delamarre.	12	toward	À Monsieur Delamarre.	12	toward	0
544	Il ouvre le papier, et y trouve une Ode sur un triomphe d'amour.	0	action	Il ouvre le papier, et y trouve une Ode sur un triomphe d'amour.	10	object	0
545	Changeant de perruque.	10	object	Changeant de perruque.	0	action	0
546	Air : du Ballet des Pierrots.	8	music	Air : du Ballet des Pierrots.	8	music	0
547	Il jette Chasteaufort à terre d'un coup de pied.	1	aggression	Il jette Chasteaufort à terre d'un coup de pied.	1	aggression	0
548	Elle regarde Marton d'un air courroucé.	3	delivery	Elle regarde Marton d'un air courroucé.	1	aggression	0
549	Air : Oui mon cher Favart, à tes yeux.	8	music	Air : Oui mon cher Favart, à tes yeux.	12	toward	0
550	Merlin s'enfuit.	5	exit	Merlin s'enfuit.	5	exit	0
551	On le voit s'élancer à travers le portail, qui s'ouvre, avec fracas. Il entraîne d'une main son amante, et de l'autre, toujours armé, il menace quelques jardiniers du couvent, qui le poursuivent jusques sur la scène. En même temps Gilotin, du haut de la seconde colline, accourt à la tête d'une troupe de villageois, armés, de pioches, de bêches, de râteaux, etc. et qui, comme lui, restent saisis d'effroi sur la montagne, à l'apparition subite d'un peloton de soldats, qui, arrivé sur la scène, et commandé par l'officier Français, les met vivement en joue. Monsieur de Saint-Yves, l'épée à la main, court au devant du ravisseur ; l'oncle l'arrête au milieu du théâtre ; la jeune tante oppose son corps au coup qu'il allait porter, et Kerkabon, mettant bas les armes, se précipite, avec son amante, aux pieds d'un père irrité.	9	narration	On le voit s'élancer à travers le portail, qui s'ouvre, avec fracas. Il entraîne d'une main son amante, et de l'autre, toujours armé, il menace quelques jardiniers du couvent, qui le poursuivent jusques sur la scène. En même temps Gilotin, du haut de la seconde colline, accourt à la tête d'une troupe de villageois, armés, de pioches, de bêches, de râteaux, etc. et qui, comme lui, restent saisis d'effroi sur la montagne, à l'apparition subite d'un peloton de soldats, qui, arrivé sur la scène, et commandé par l'officier Français, les met vivement en joue. Monsieur de Saint-Yves, l'épée à la main, court au devant du ravisseur ; l'oncle l'arrête au milieu du théâtre ; la jeune tante oppose son corps au coup qu'il allait porter, et Kerkabon, mettant bas les armes, se précipite, avec son amante, aux pieds d'un père irrité.	9	narration	0
552	Montrant le manuscrit.	0	action	Montrant le manuscrit.	10	object	0
553	Les garçons disparaissent.	5	exit	Les garçons disparaissent.	5	exit	0
554	Antoine le tire par son habit.	6	interaction	Antoine le tire par son habit.	1	aggression	0
555	AIR. ( Attende-moi sous l'Orme. )	8	music	AIR. ( Attende-moi sous l'Orme. )	2	aparte	0
556	Air : Vaud[e]v[ille] d'Abuzar.	8	music	Air : Vaud[e]v[ille] d'Abuzar.	8	music	0
557	AIR Dans un Couvent bien-heureux.	8	music	AIR Dans un Couvent bien-heureux.	11	setting	0
558	Le Général leur fait part des dispositions qu'il a pris, en cas que les ennemis approchent, et leur indique la marche qu'ils doivent suivre , d'après le plan qu'il a conçu.	0	action	Le Général leur fait part des dispositions qu'il a pris, en cas que les ennemis approchent, et leur indique la marche qu'ils doivent suivre , d'après le plan qu'il a conçu.	9	narration	0
559	Harpagême se met dans le piège.	11	setting	Harpagême se met dans le piège.	0	action	0
560	Au lever du rideau le théâtre est en désordre.	11	setting	Au lever du rideau le théâtre est en désordre.	11	setting	0
561	Octave veut secourir Colombine, Arlequin l'en empêche et emmène Colombine. Octave reste fort embarrassé. Le Docteur vient, qui le reconnaît pour son fils. Octave feint de ne pas le reconnaître et s'échappe. Le Docteur le suit. Après cette Scène, qui est toute en Italien, Arlequin revient sur le Théâtre.	9	narration	Octave veut secourir Colombine, Arlequin l'en empêche et emmène Colombine. Octave reste fort embarrassé. Le Docteur vient, qui le reconnaît pour son fils. Octave feint de ne pas le reconnaître et s'échappe. Le Docteur le suit. Après cette Scène, qui est toute en Italien, Arlequin revient sur le Théâtre.	9	narration	0
562	À Trasimon.	12	toward	À Trasimon.	11	setting	0
563	Le docteur se lève.	0	action	Le docteur se lève.	7	movement	0
564	Il tire.	10	object	Il tire.	1	aggression	0
565	Serment de l'Ordre de Chevalerie.	8	music	Serment de l'Ordre de Chevalerie.	0	action	0
566	À Sozame.	12	toward	À Sozame.	4	entrance	0
567	Embrassant Madame Milville.	6	interaction	Embrassant Madame Milville.	6	interaction	0
568	Examinant le tableau.	0	action	Examinant le tableau.	0	action	0
569	Air de la SIRÈNE, d'Auber.	8	music	Air de la SIRÈNE, d'Auber.	8	music	0
570	Le Chevalier tombe à genoux;	0	action	Le Chevalier tombe à genoux;	0	action	0
571	AIR : Réveillez-vous belle endormie.	8	music	AIR : Réveillez-vous belle endormie.	2	aparte	0
572	AIR 105 : La bonne aventure, ô gai.	8	music	AIR 105 : La bonne aventure, ô gai.	8	music	0
573	Regardant la table servie.	0	action	Regardant la table servie.	0	action	0
574	Saint-Alban parait.	4	entrance	Saint-Alban parait.	4	entrance	0
575	Entre Henri Bassou.	4	entrance	Entre Henri Bassou.	4	entrance	0
576	Il le déchire.	10	object	Il le déchire.	1	aggression	0
577	Lettre de MASSINISSE à SOPHONISBE	8	music	Lettre de MASSINISSE à SOPHONISBE	10	object	0
578	Se jetant aux pieds d'Inès.	0	action	Se jetant aux pieds d'Inès.	0	action	0
579	Se posant devant Julie.	0	action	Se posant devant Julie.	6	interaction	0
580	RONDEAU du Prisonnier.	8	music	RONDEAU du Prisonnier.	8	music	0
581	À Florine.	12	toward	À Florine.	12	toward	0
582	S'adressant à Léandre.	12	toward	S'adressant à Léandre.	12	toward	0
583	Il feint de s'en aller.	7	movement	Il feint de s'en aller.	7	movement	0
584	Air : des Fraises.	8	music	Air : des Fraises.	10	object	0
585	À Ardenie.	12	toward	À Ardenie.	4	entrance	0
586	LETTRE SUPPOSÉE d'ALIDOR À CLARINE.	8	music	LETTRE SUPPOSÉE d'ALIDOR À CLARINE.	10	object	0
587	Fenise rentre.	5	exit	Fenise rentre.	4	entrance	0
588	Tandis que cette première statue par ses attitudes et ses pas, marque sa surprise et son admiration, Prométhée par ses gestes marque combien il est satisfait de son ouvrage, et tâche de faire entrer Mercure dans sa joie. II anime une seconde Statue qui est encore celle d'un homme, et qui exprime à la vue du Ciel et de la Terre les mêmes mouvements de surprise que la première ; ensuite ils s'aperçoivent, courent l'un à l'autre, s'embrassent et se donnent tous les témoignages de l'amitié la plus vive.	9	narration	Tandis que cette première statue par ses attitudes et ses pas, marque sa surprise et son admiration, Prométhée par ses gestes marque combien il est satisfait de son ouvrage, et tâche de faire entrer Mercure dans sa joie. II anime une seconde Statue qui est encore celle d'un homme, et qui exprime à la vue du Ciel et de la Terre les mêmes mouvements de surprise que la première ; ensuite ils s'aperçoivent, courent l'un à l'autre, s'embrassent et se donnent tous les témoignages de l'amitié la plus vive.	6	interaction	0
589	À Philomèle.	12	toward	À Philomèle.	12	toward	0
590	Ils s'asseyent tous deux.	0	action	Ils s'asseyent tous deux.	0	action	0
591	À Tartuffe.	12	toward	À Tartuffe.	12	toward	0
592	Ils sortent avec la Mère Ubu.	5	exit	Ils sortent avec la Mère Ubu.	5	exit	0
593	AIR. Oh ! Ricandaine.	8	music	AIR. Oh ! Ricandaine.	2	aparte	0
594	En apercevant Eve.	0	action	En apercevant Eve.	6	interaction	0
595	Regardant sa main vide.	0	action	Regardant sa main vide.	0	action	0
596	Elle reprend le bras de Phanor.	6	interaction	Elle reprend le bras de Phanor.	6	interaction	0
597	Elle lui rend la bague.	10	object	Elle lui rend la bague.	10	object	0
598	Se remettant.	7	movement	Se remettant.	0	action	0
599	Elle parle surtout d'une certaine Clorinde, qui ne l'a reconduite qu'à la porte de sa chambre. Monsieur Bobinet trouve fort ridicule que pendant tout le temps de la visite, on ne l'ait pas prié de mettre son chapeau.	9	narration	Elle parle surtout d'une certaine Clorinde, qui ne l'a reconduite qu'à la porte de sa chambre. Monsieur Bobinet trouve fort ridicule que pendant tout le temps de la visite, on ne l'ait pas prié de mettre son chapeau.	9	narration	0
600	AIR : Quand on conspire.	8	music	AIR : Quand on conspire.	2	aparte	0
601	Il arrache du poil.	10	object	Il arrache du poil.	1	aggression	0
602	Il paraît.	4	entrance	Il paraît.	2	aparte	0
603	Il donne plusieurs coups de bâton sur le sac.	1	aggression	Il donne plusieurs coups de bâton sur le sac.	1	aggression	0
604	Montrant son écharpe.	0	action	Montrant son écharpe.	0	action	0
605	Le portier sort pour revenir l'instant d'après avec la vieille pécheresse. Pendant ces minutes, l'évêque à mi-voix murmure :	5	exit	Le portier sort pour revenir l'instant d'après avec la vieille pécheresse. Pendant ces minutes, l'évêque à mi-voix murmure :	3	delivery	0
606	Guillot fait semblant de s'en aller.	5	exit	Guillot fait semblant de s'en aller.	7	movement	0
607	À Antiochus.	12	toward	À Antiochus.	12	toward	0
608	À Déjanire	12	toward	À Déjanire	12	toward	0
609	À Verseuil.	12	toward	À Verseuil.	11	setting	0
610	Il va ouvrir la porte.	0	action	Il va ouvrir la porte.	7	movement	0
611	Il paraissent tous trois.	4	entrance	Il paraissent tous trois.	4	entrance	0
612	Entre le Cardinal.	4	entrance	Entre le Cardinal.	4	entrance	0
613	Sixième intermède ; Qui est la solennité des Jeux pythiens.	4	entrance	Sixième intermède ; Qui est la solennité des Jeux pythiens.	11	setting	0
614	Il le bat.	1	aggression	Il le bat.	1	aggression	0
615	Il entre avec l'orfèvre.	5	exit	Il entre avec l'orfèvre.	4	entrance	0
616	Elle ramasse le bonnet.	10	object	Elle ramasse le bonnet.	0	action	0
617	Air : Or écoutez petits et grands.	8	music	Air : Or écoutez petits et grands.	2	aparte	0
618	Une troupe de Matelots descendent d'un vaisseau échoué.	4	entrance	Une troupe de Matelots descendent d'un vaisseau échoué.	4	entrance	0
619	À Antonin.	12	toward	À Antonin.	12	toward	0
620	AIR : Voulez-vous savoir qui des deux.	8	music	AIR : Voulez-vous savoir qui des deux.	2	aparte	0
621	À Henry.	12	toward	À Henry.	12	toward	0
622	Le Choeur des Bergers répète ces deux derniers Vers.	3	delivery	Le Choeur des Bergers répète ces deux derniers Vers.	8	music	0
623	Le Mufti demande aux Turcs si le Bourgeois sera ferme dans la religion mahométane, et leur chante ces paroles :	3	delivery	Le Mufti demande aux Turcs si le Bourgeois sera ferme dans la religion mahométane, et leur chante ces paroles :	8	music	0
624	AIR : Eh zon, zon, zon, Lisette.	8	music	AIR : Eh zon, zon, zon, Lisette.	8	music	0
625	Elle met timidement, mais avec résolution, sur le bras de Théodat, sa main qui se crispe à la chair sentie sous les étoffes.	6	interaction	Elle met timidement, mais avec résolution, sur le bras de Théodat, sa main qui se crispe à la chair sentie sous les étoffes.	6	interaction	0
626	Entre Madame Dergos.	4	entrance	Entre Madame Dergos.	4	entrance	0
627	Avec feu.	3	delivery	Avec feu.	0	action	0
628	Il regarde le portrait.	0	action	Il regarde le portrait.	0	action	0
629	SCÈNE II.	8	music	SCÈNE II.	11	setting	0
630	Lui donnant le bracelet.	10	object	Lui donnant le bracelet.	3	delivery	0
631	Air : Pauvre Jacques.	8	music	Air : Pauvre Jacques.	2	aparte	0
632	Au duc d'Alcala.	12	toward	Au duc d'Alcala.	12	toward	0
633	Air : Je vous salue, ô végétaux !	8	music	Air : Je vous salue, ô végétaux !	2	aparte	0
634	On lui corne aux oreilles avec une trompe de postillon.	9	narration	On lui corne aux oreilles avec une trompe de postillon.	0	action	0
635	Antistrophe II.	8	music	Antistrophe II.	9	narration	0
636	Strophe X.	8	music	Strophe X.	9	narration	0
637	Apercevant Job.	0	action	Apercevant Job.	6	interaction	0
638	Air : Mon joli petit Corbillon.	8	music	Air : Mon joli petit Corbillon.	8	music	0
639	Air : Le petit mot, etc.	0	action	Air : Le petit mot, etc.	8	music	0
640	Il prélude encore.	3	delivery	Il prélude encore.	8	music	0
641	(Gen. XXII, 17 et 18).	8	music	(Gen. XXII, 17 et 18).	9	narration	0
642	Le Comte paraît.	4	entrance	Le Comte paraît.	4	entrance	0
643	Tout accourt à sa voix.	4	entrance	Tout accourt à sa voix.	4	entrance	0
644	Il se lève de table.	0	action	Il se lève de table.	7	movement	0
645	À demi-voix.	3	delivery	À demi-voix.	3	delivery	0
646	Elles traversent toutes deux.	11	setting	Elles traversent toutes deux.	7	movement	0
647	Elle joint les mains.	0	action	Elle joint les mains.	0	action	0
648	On frappe à la porte au fond.	0	action	On frappe à la porte au fond.	4	entrance	0
649	Paquette lui serrant la main.	10	object	Paquette lui serrant la main.	6	interaction	0
650	AIR : Plaisirs si purs que je regrette.	8	music	AIR : Plaisirs si purs que je regrette.	8	music	0
651	À Hauteroche.	12	toward	À Hauteroche.	12	toward	0
652	Air 15 : Je ne suis né ni Roi, ni Prince.	8	music	Air 15 : Je ne suis né ni Roi, ni Prince.	2	aparte	0
653	Le Roi dort.	0	action	Le Roi dort.	11	setting	0
654	Fritelin et son Maître apparaissent sur le petit théâtre. Fritelin descend dans la foule et la fait ranger en cercle. Un joueur de viole et un joueur de rebec sonnent de leurs instruments.	4	entrance	Fritelin et son Maître apparaissent sur le petit théâtre. Fritelin descend dans la foule et la fait ranger en cercle. Un joueur de viole et un joueur de rebec sonnent de leurs instruments.	4	entrance	0
655	Au peuple.	12	toward	Au peuple.	12	toward	0
656	En montrant Nérestan.	0	action	En montrant Nérestan.	6	interaction	0
657	Des soldats de la suite du Major entourent Roquillard, en lui présentant de tous côtés la pointe de la hallebarde ; et pendant ce temps Arlequin emmène Isabelle. Les soldats et Roquillard forment une danse, qui sert de divertissement pour le troisième acte.	9	narration	Des soldats de la suite du Major entourent Roquillard, en lui présentant de tous côtés la pointe de la hallebarde ; et pendant ce temps Arlequin emmène Isabelle. Les soldats et Roquillard forment une danse, qui sert de divertissement pour le troisième acte.	6	interaction	0
658	On sonne une seconde fois.	0	action	On sonne une seconde fois.	8	music	0
659	À la Servante.	12	toward	À la Servante.	2	aparte	0
660	Il y a une ottomane qui règne le long de la salle, le Chinois et la Chinoise s'y accroupissent. Un Tartare et une Tartare paraissent sans saluer personne ; ils ont un arc en main et un carquois sur l'épaule ; ils se couchent auprès des Chinois.	9	narration	Il y a une ottomane qui règne le long de la salle, le Chinois et la Chinoise s'y accroupissent. Un Tartare et une Tartare paraissent sans saluer personne ; ils ont un arc en main et un carquois sur l'épaule ; ils se couchent auprès des Chinois.	11	setting	0
661	Une maison de paysans dans les environs de Varsovie.	11	setting	Une maison de paysans dans les environs de Varsovie.	11	setting	0
662	Montano s'approche.	7	movement	Montano s'approche.	7	movement	0
663	Le théâtre représente un petit salon. Porte au fond. Porte latérale à droite. - Une fenêtre à gauche. - À droite, une table.	11	setting	Le théâtre représente un petit salon. Porte au fond. Porte latérale à droite. - Une fenêtre à gauche. - À droite, une table.	11	setting	0
664	Elle parle à Anthénor.	12	toward	Elle parle à Anthénor.	6	interaction	0
665	Elle détrempe les papiers dans l'eau.	0	action	Elle détrempe les papiers dans l'eau.	0	action	0
666	Regardant le portrait de Lélie.	0	action	Regardant le portrait de Lélie.	0	action	0
667	ENSEMBLE	3	delivery	ENSEMBLE	6	interaction	0
668	La scène représente le boudoir de la Comtesse. À gauche, un petit paravent. Au lever du rideau, la Comtesse de La Roche-Gaston est seule en scène.	11	setting	La scène représente le boudoir de la Comtesse. À gauche, un petit paravent. Au lever du rideau, la Comtesse de La Roche-Gaston est seule en scène.	11	setting	0
669	Air : Oh, oh, oh, ah, ah, ah !	8	music	Air : Oh, oh, oh, ah, ah, ah !	8	music	0
670	Montrant Tancrède.	0	action	Montrant Tancrède.	6	interaction	0
671	À ses fils.	12	toward	À ses fils.	12	toward	0
672	AIR 97. (J'ai bien la plus sobre femme.)	8	music	AIR 97. (J'ai bien la plus sobre femme.)	2	aparte	0
673	La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	9	narration	La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	7	movement	0
674	Air : À la façon de Barbari.	8	music	Air : À la façon de Barbari.	8	music	0
675	À Isabelle.	8	music	À Isabelle.	12	toward	0
676	Loretta fait le signe de la croix, baisse son voile, se lève et sort.	0	action	Loretta fait le signe de la croix, baisse son voile, se lève et sort.	5	exit	0
677	À Doligni.	12	toward	À Doligni.	4	entrance	0
678	À celui qui porte l'urne.	12	toward	À celui qui porte l'urne.	12	toward	0
679	Le théâtre représente l'appartement de Rosine. La croisée dans le fond du théâtre est fermée par une jalousie grillée.	11	setting	Le théâtre représente l'appartement de Rosine. La croisée dans le fond du théâtre est fermée par une jalousie grillée.	11	setting	0
680	À Mirval.	12	toward	À Mirval.	12	toward	0
681	Elle va au lit de la petite Dusault.	11	setting	Elle va au lit de la petite Dusault.	7	movement	0
682	Air : Toujours seule, disait Nina.	8	music	Air : Toujours seule, disait Nina.	2	aparte	0
683	Le reconduisant.	6	interaction	Le reconduisant.	6	interaction	0
684	Elle s'approche du fauteuil de gauche et elle indique celui de droite.	7	movement	Elle s'approche du fauteuil de gauche et elle indique celui de droite.	6	interaction	0
685	Brécourt lève son bâton, que le cavalier pare avec un pistolet qu'il a tiré rapidement de sa ceinture.	1	aggression	Brécourt lève son bâton, que le cavalier pare avec un pistolet qu'il a tiré rapidement de sa ceinture.	1	aggression	0
686	Chompré paraît.	4	entrance	Chompré paraît.	4	entrance	0
687	À Arsame.	12	toward	À Arsame.	4	entrance	0
688	AIR : Du Vaudeville de Figaro.	8	music	AIR : Du Vaudeville de Figaro.	8	music	0
689	La scène représente la province de Livonie couverte de neige.	11	setting	La scène représente la province de Livonie couverte de neige.	11	setting	0
690	Ils restent tous deux un instant dans le silence.	3	delivery	Ils restent tous deux un instant dans le silence.	6	interaction	0
691	Abois de chiens sur la route... Autos qui passent... Silence. Deux heures, bruits d'autos... Silence. Trois heures... Chants du coq se répandant dans la campagne... Silence. Quatre heures...	9	narration	Abois de chiens sur la route... Autos qui passent... Silence. Deux heures, bruits d'autos... Silence. Trois heures... Chants du coq se répandant dans la campagne... Silence. Quatre heures...	9	narration	0
692	Là, ils se masquent, et prennent les casaques des morts.	10	object	Là, ils se masquent, et prennent les casaques des morts.	0	action	0
693	Les prisonniers ramassent leurs outils, s'accouplent en silence et sortent la tête basse sous le fouet du soldat. Guanhumara reparaît sur la galerie haute et les suit des yeux. Au moment où les prisonniers disparaissent, entrent par la grande porte Régina, Edwige et Otbert ; Régina, vêtue de blanc ; Edwige, la nourrice, vieille, vêtue de noir ; Otbert, en habit de capitaine aventurier, avec le coutelas et la grande épée ; Régina, toute jeune, pale, accablée et se traînant à peine, comme une personne malade depuis longtemps et presque mourante. Elle se penche sur le bras d'Otbert, qui la soutient et fixe sur elle un regard plein d'angoisse et d'amour. Edwige la suit. Guanhumara, sans être vue d'aucun des trois, les observe et les écoute quelques instants, puis sort par le côté opposé à celui où elle est entrée.	9	narration	Les prisonniers ramassent leurs outils, s'accouplent en silence et sortent la tête basse sous le fouet du soldat. Guanhumara reparaît sur la galerie haute et les suit des yeux. Au moment où les prisonniers disparaissent, entrent par la grande porte Régina, Edwige et Otbert ; Régina, vêtue de blanc ; Edwige, la nourrice, vieille, vêtue de noir ; Otbert, en habit de capitaine aventurier, avec le coutelas et la grande épée ; Régina, toute jeune, pale, accablée et se traînant à peine, comme une personne malade depuis longtemps et presque mourante. Elle se penche sur le bras d'Otbert, qui la soutient et fixe sur elle un regard plein d'angoisse et d'amour. Edwige la suit. Guanhumara, sans être vue d'aucun des trois, les observe et les écoute quelques instants, puis sort par le côté opposé à celui où elle est entrée.	9	narration	0
694	Le théâtre représente une grande Salle de Spectacle, où l'on voit une troupe de Peuples de différents Provinces, qui forment le début de ce Prologue.	11	setting	Le théâtre représente une grande Salle de Spectacle, où l'on voit une troupe de Peuples de différents Provinces, qui forment le début de ce Prologue.	11	setting	0
695	En saisissant la main de son père.	6	interaction	En saisissant la main de son père.	6	interaction	0
696	À Bérénice.	12	toward	À Bérénice.	12	toward	0
697	Air : Dondaine.	8	music	Air : Dondaine.	6	interaction	0
698	Ils rentrent, à la réserve de Paquette, et de Champagne.	5	exit	Ils rentrent, à la réserve de Paquette, et de Champagne.	4	entrance	0
699	Elle se penche à la fenêtre.	11	setting	Elle se penche à la fenêtre.	7	movement	0
700	Les clercs s'assemblent devant lui.	7	movement	Les clercs s'assemblent devant lui.	6	interaction	0
701	"Lutte valeureuse de Théodore avec le mot ""humiliation""."	0	action	"Lutte valeureuse de Théodore avec le mot ""humiliation""."	1	aggression	0
702	La scène est à Paris.	11	setting	La scène est à Paris.	11	setting	0
703	À Érope et à Thyeste.	12	toward	À Érope et à Thyeste.	12	toward	0
704	Il tire un des parchemins de l'urne.	6	interaction	Il tire un des parchemins de l'urne.	10	object	0
705	Il donne son fouet à  Lépine.	10	object	Il donne son fouet à  Lépine.	10	object	0
706	En montrant Betti.	0	action	En montrant Betti.	6	interaction	0
707	Le théâtre représente l'intérieur d'un café, dans lequel on voit les bustes de quelques grands hommes, ni entr'autres celui de Molière.	11	setting	Le théâtre représente l'intérieur d'un café, dans lequel on voit les bustes de quelques grands hommes, ni entr'autres celui de Molière.	11	setting	0
708	Ils mangent tous deux.	0	action	Ils mangent tous deux.	6	interaction	0
709	Elle l'embrasse passionnément.	6	interaction	Elle l'embrasse passionnément.	6	interaction	0
710	À Pierrot.	12	toward	À Pierrot.	12	toward	0
711	Il prend des notes pour sa collection.	0	action	Il prend des notes pour sa collection.	0	action	0
712	Elle se jette à terre et se prosterne.	0	action	Elle se jette à terre et se prosterne.	0	action	0
713	Il heurte Grapinian, qui fait trois ou quatre pas, et se touchant le coude.	1	aggression	Il heurte Grapinian, qui fait trois ou quatre pas, et se touchant le coude.	1	aggression	0
714	Dassoucy, le Docteur et Pierrotin éclatent de rire.	3	delivery	Dassoucy, le Docteur et Pierrotin éclatent de rire.	0	action	0
715	Il se retourne devers Isidore, à chaque parole qu'il dit à Don_Pèdre : et lui fait des signes pour lui faire connaître le dessein de son maître.	12	toward	Il se retourne devers Isidore, à chaque parole qu'il dit à Don_Pèdre : et lui fait des signes pour lui faire connaître le dessein de son maître.	6	interaction	0
716	Air. Nanon dormait.	8	music	Air. Nanon dormait.	11	setting	0
717	Air : C'est au pays de Cocagne.	8	music	Air : C'est au pays de Cocagne.	9	narration	0
718	À Argimont.	12	toward	À Argimont.	4	entrance	0
719	Il sort en tirant ses tablettes.	5	exit	Il sort en tirant ses tablettes.	5	exit	0
720	Melpomène sur l'aile droite du Théâtre. Thalie sur l'aile gauche avec sa suite.	11	setting	Melpomène sur l'aile droite du Théâtre. Thalie sur l'aile gauche avec sa suite.	4	entrance	0
721	Se jetant sur un fautenil.	0	action	Se jetant sur un fautenil.	0	action	0
722	AIR. Que de Gentillesse.	8	music	AIR. Que de Gentillesse.	8	music	0
723	Il referme vite le secret de l'écrin.	10	object	Il referme vite le secret de l'écrin.	0	action	0
724	Air : Quel amour fut aussi tendre ! De Nina.	8	music	Air : Quel amour fut aussi tendre ! De Nina.	3	delivery	0
725	SÉRÉNADE.	8	music	SÉRÉNADE.	8	music	0
726	Aux insulaires de l'un et de l'autre sexes.	12	toward	Aux insulaires de l'un et de l'autre sexes.	11	setting	0
727	Il dit en riant les derniers mots.	3	delivery	Il dit en riant les derniers mots.	3	delivery	0
728	Entrant.	4	entrance	Entrant.	4	entrance	0
729	Tirsis se retire.	5	exit	Tirsis se retire.	5	exit	0
730	Apercevant la livrée de Tronquoy.	0	action	Apercevant la livrée de Tronquoy.	0	action	0
